hour,power_consumption
11423:-1962,48.889782
11423:-1962,48.886787
11429:-1964,48.956924
11429:-1964,48.95394
11429:-1964,48.950928
11428:-1964,48.947926
11428:-1963,48.94493
11428:-1963,48.94192
11428:-1963,48.938927
11427:-1963,48.93592
11427:-1963,48.932953
11427:-1963,48.92995
11427:-1963,48.926933
11426:-1963,48.923946
11426:-1963,48.92094
11426:-1963,48.91794
11425:-1963,48.914948
11425:-1963,48.91195
11425:-1963,48.908947
11425:-1963,48.905945
11436:-1979,49.509064
11436:-1979,49.506424
11436:-1979,49.50383
11436:-1979,49.501217
11435:-1979,49.498604
11435:-1979,49.49596
11435:-1979,49.493362
11441:-1980,49.55457
11440:-1980,49.551964
11440:-1980,49.549362
11440:-1980,49.546722
11440:-1980,49.54412
11439:-1980,49.54149
11439:-1980,49.538864
11439:-1980,49.536278
11439:-1980,49.53367
11438:-1979,49.531044
11438:-1979,49.52841
11438:-1979,49.5258
11438:-1979,49.523182
11437:-1979,49.520565
11437:-1979,49.517963
11437:-1979,49.51533
11437:-1979,49.51269
11436:-1979,49.510082
11436:-1979,49.50747
11436:-1979,49.504833
11436:-1979,49.502216
11435:-1979,49.499626
11435:-1979,49.497
11435:-1979,49.494366
11441:-1980,49.555584
11440:-1980,49.552986
11440:-1980,49.55036
11440:-1980,49.54774
11440:-1980,49.54512
11439:-1980,49.542538
11439:-1980,49.539925
11439:-1980,49.537277
11439:-1980,49.534676
11438:-1979,49.532055
11438:-1979,49.52945
11438:-1979,49.52681
11438:-1979,49.52418
11437:-1979,49.521595
11437:-1979,49.518982
11437:-1979,49.516357
11437:-1979,49.513714
11436:-1979,49.51112
11436:-1979,49.50849
11436:-1979,49.505867
11436:-1979,49.50325
11435:-1979,49.50064
11435:-1979,49.498016
11435:-1979,49.49539
11441:-1980,49.556618
11441:-1980,49.55399
11440:-1980,49.551403
11440:-1980,49.548767
11440:-1980,49.546143
11440:-1980,49.543533
11439:-1980,49.540924
11439:-1980,49.538296
11443:-1994,50.07708
11443:-1994,50.07479
11443:-1994,50.072533
11443:-1994,50.07024
11442:-1994,50.067974
11442:-1994,50.06571
11442:-1994,50.063423
11442:-1994,50.061142
11442:-1994,50.05889
11441:-1994,50.056618
11441:-1994,50.05435
11441:-1994,50.052074
11441:-1994,50.04981
11440:-1993,50.04755
11440:-1993,50.045273
11440:-1993,50.042995
11440:-1993,50.040714
11445:-1994,50.093834
11445:-1994,50.091553
11445:-1994,50.08929
11444:-1994,50.087025
11444:-1994,50.084766
11444:-1994,50.08247
11444:-1994,50.080193
11444:-1994,50.07791
11443:-1994,50.075653
11443:-1994,50.073406
11443:-1994,50.071117
11443:-1994,50.068844
11442:-1994,50.06659
11442:-1994,50.064312
11442:-1994,50.062065
11442:-1994,50.05977
11441:-1994,50.05751
11441:-1994,50.055237
11441:-1994,50.05298
11441:-1994,50.0507
11440:-1993,50.048435
11440:-1993,50.046158
11440:-1993,50.043877
11440:-1993,50.041634
11445:-1994,50.094704
11445:-1994,50.09243
11445:-1994,50.090176
11445:-1994,50.087917
11444:-1994,50.08564
11444:-1994,50.08338
11444:-1994,50.081085
11444:-1994,50.07883
11443:-1994,50.07655
11443:-1994,50.07429
11443:-1994,50.072025
11443:-1994,50.069733
11442:-1994,50.067474
11442:-1994,50.06521
11442:-1994,50.062943
11442:-1994,50.060673
11441:-1994,50.058384
11441:-1994,50.056118
11441:-1994,50.053856
11441:-1994,50.051582
11441:-1994,50.049305
11439:-2006,50.538765
11439:-2006,50.536816
11439:-2006,50.534855
11439:-2006,50.53288
11444:-2007,50.57863
11444:-2007,50.57669
11444:-2007,50.57471
11443:-2007,50.57277
11443:-2007,50.570816
11443:-2007,50.56886
11443:-2007,50.566906
11442:-2007,50.56496
11442:-2007,50.563004
11442:-2007,50.561028
11442:-2007,50.559067
11442:-2007,50.557102
11441:-2007,50.555187
11441:-2007,50.55321
11441:-2007,50.551254
11441:-2006,50.54929
11440:-2006,50.547348
11440:-2006,50.545376
11440:-2006,50.54344
11440:-2006,50.54147
11440:-2006,50.539528
11439:-2006,50.537544
11439:-2006,50.53559
11439:-2006,50.53365
11444:-2007,50.57939
11444:-2007,50.57744
11444:-2007,50.575466
11443:-2007,50.573517
11443:-2007,50.571568
11443:-2007,50.569622
11443:-2007,50.56766
11443:-2007,50.5657
11442:-2007,50.56374
11442:-2007,50.561817
11442:-2007,50.55983
11442:-2007,50.557884
11441:-2007,50.55591
11441:-2007,50.55398
11441:-2007,50.55203
11441:-2006,50.550068
11441:-2006,50.5481
11440:-2006,50.54615
11440:-2006,50.54418
11440:-2006,50.542225
11440:-2006,50.540283
11439:-2006,50.53832
11439:-2006,50.53637
11439:-2006,50.534393
11444:-2007,50.580154
11444:-2007,50.578194
11444:-2007,50.576233
11444:-2007,50.5743
11443:-2007,50.57234
11443:-2007,50.570393
11443:-2007,50.568428
11443:-2007,50.566467
11442:-2007,50.56453
11442:-2007,50.56255
11442:-2007,50.56061
11436:-2018,50.998928
11436:-2018,50.997265
11436:-2018,50.99558
11436:-2018,50.993904
11435:-2018,50.99224
11435:-2017,50.990547
11435:-2017,50.98886
11435:-2017,50.987194
11434:-2017,50.98553
11434:-2017,50.983864
11434:-2017,50.982178
11434:-2017,50.980522
11434:-2017,50.97883
11433:-2017,50.97718
11439:-2018,51.01629
11438:-2018,51.014618
11438:-2018,51.012928
11438:-2018,51.01131
11438:-2018,51.00961
11437:-2018,51.007935
11437:-2018,51.00625
11437:-2018,51.00458
11437:-2018,51.002922
11437:-2018,51.00124
11436:-2018,50.999577
11436:-2018,50.997913
11436:-2018,50.996204
11436:-2018,50.99456
11435:-2018,50.992874
11435:-2018,50.99121
11435:-2017,50.989517
11435:-2017,50.987865
11435:-2017,50.98618
11434:-2017,50.98451
11434:-2017,50.982826
11434:-2017,50.98116
11434:-2017,50.979507
11433:-2017,50.97783
11439:-2018,51.016956
11438:-2018,51.015278
11438:-2018,51.013584
11438:-2018,51.01193
11438:-2018,51.010258
11438:-2018,51.0086
11437:-2018,51.00692
11437:-2018,51.005238
11437:-2018,51.00357
11437:-2018,51.001896
11436:-2018,51.000217
11436:-2018,50.998535
11436:-2018,50.996864
11436:-2018,50.99522
11436:-2018,50.99352
11435:-2018,50.99186
11435:-2017,50.99017
11435:-2017,50.988503
11435:-2017,50.986843
11434:-2017,50.985153
11434:-2017,50.983486
11434:-2017,50.981834
11434:-2017,50.980156
11434:-2017,50.978466
11429:-2027,51.411346
